City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,negombo,7.2083,79.8358,77.05,88,0,6.91,LK,1675537417
156,beitbridge,-22.2167,30.0,78.44,54,10,8.7,ZW,1675537418
157,grand gaube,-20.0064,57.6608,80.38,77,99,5.01,MU,1675537418
158,rio grande,-32.035,-52.0986,86.11,54,0,17.9,BR,1675537180
159,shambu,9.5667,37.1,57.92,23,31,0.4,ET,1675537418
160,raudeberg,61.9875,5.1352,38.86,75,100,28.23,NO,1675537419
161,bathsheba,13.2167,-59.5167,84.81,70,40,20.71,BB,1675537419
162,kodiak,57.79,-152.4072,20.71,93,0,5.75,US,1675537419
163,cherskiy,68.75,161.3,-35.21,100,89,5.57,RU,1675537420
164,port lincoln,-34.7333,135.8667,58.77,81,29,4.03,AU,1675537420
165,shubarshi,48.5872,57.1869,9.64,87,97,10.92,KZ,1675537420
166,airai,-8.9266,125.4092,60.13,92,100,2.08,TL,1675537421
167,boralday,43.3578,76.8594,26.46,100,100,4.47,KZ,1675537421
168,hambantota,6.1241,81.1185,75.94,86,9,12.15,LK,1675537421
169,nome,64.5011,-165.4064,8.67,78,100,5.75,US,1675537371
170,jinchang,38.4953,102.1739,28.92,37,0,2.24,CN,1675537422
171,richards bay,-28.783,32.0377,72.54,88,0,2.59,ZA,1675537422
172,petropavlovsk-kamchatskiy,53.0452,158.6483,1.99,72,0,6.71,RU,1675537422
173,barmer,25.75,71.3833,65.05,22,0,5.23,IN,1675537422
174,rocha,-34.4833,-54.3333,72.77,68,49,20.4,UY,1675537423
175,kiunga,-6.1219,141.2906,73.11,100,100,2.21,PG,1675537305
176,mar del plata,-38.0023,-57.5575,75.83,62,0,16.11,AR,1675537244
177,east london,-33.0153,27.9116,76.14,78,0,14.97,ZA,1675537235
178,dikson,73.5069,80.5464,-6.79,98,100,2.98,RU,1675537323
179,punta gorda,26.9298,-82.0454,77.02,68,100,20.0,US,1675537212
180,phan thiet,10.9333,108.1,71.15,87,19,8.88,VN,1675537423
181,bambous virieux,-20.3428,57.7575,80.22,89,40,8.05,MU,1675537309
182,kitimat,54.0524,-128.6534,35.98,100,100,2.8,CA,1675537399
183,slyudyanka,51.6594,103.7061,8.22,91,95,4.54,RU,1675537424
184,santa maria,-29.6842,-53.8069,81.7,44,75,9.22,BR,1675537147
185,yellowknife,62.456,-114.3525,-21.48,76,75,3.44,CA,1675537236
186,gotzis,47.3331,9.6331,43.02,85,75,2.3,AT,1675537424
187,dzilam gonzalez,21.2833,-88.9333,75.63,74,71,11.32,MX,1675537425
188,flinders,-34.5833,150.8552,62.38,68,0,7.31,AU,1675537425
189,emerald,-23.5333,148.1667,73.35,63,93,10.27,AU,1675537425
190,goya,-29.14,-59.2626,93.16,19,74,9.82,AR,1675537425
191,duluth,46.7833,-92.1066,23.07,62,20,10.36,US,1675537417
192,namatanai,-3.6667,152.4333,78.6,82,100,3.06,PG,1675537426
193,laguna,38.421,-121.4238,62.01,72,100,13.8,US,1675537426
194,haines junction,60.7522,-137.5108,10.35,85,100,1.14,CA,1675537426
195,paamiut,61.994,-49.6678,13.08,74,100,14.09,GL,1675537400
196,canora,51.6333,-102.4343,17.62,87,100,4.09,CA,1675537237
197,buchanan,5.8808,-10.0467,80.38,81,36,7.34,LR,1675537427
198,ilulissat,69.2167,-51.1,-0.38,78,75,3.44,GL,1675537427
199,chicama,-7.8447,-79.1469,73.94,53,66,11.41,PE,1675537427
200,selfoss,63.9331,-20.9971,33.04,70,100,20.47,IS,1675537428
201,port blair,11.6667,92.75,80.64,78,40,5.75,IN,1675537428
202,terrace,54.5163,-128.6035,35.51,100,100,4.61,CA,1675537428
203,longyearbyen,78.2186,15.6401,12.04,67,0,13.8,SJ,1675537429
204,belmonte,-15.8631,-38.8828,83.8,68,3,11.7,BR,1675537429
205,tezu,27.9167,96.1667,61.29,28,19,4.16,IN,1675537429
206,balkhash,46.844,74.9804,10.31,99,91,4.29,KZ,1675537430
207,waingapu,-9.6567,120.2641,75.45,92,100,3.69,ID,1675537430
208,columbia,34.0007,-81.0348,47.05,35,20,3.44,US,1675537282
209,vila,42.0304,-8.1588,45.48,63,0,4.36,PT,1675537430
210,sinnamary,5.3833,-52.95,77.61,88,100,14.94,GF,1675537431
211,brodowski,-20.9845,-47.6572,84.2,92,100,3.27,BR,1675537431
212,qaqortoq,60.7167,-46.0333,25.39,89,100,32.39,GL,1675537431
213,kalmunai,7.4167,81.8167,75.94,89,97,7.54,LK,1675537431
214,henties bay,-22.116,14.2845,64.71,85,100,7.49,NA,1675537432
215,bima,-8.4667,118.7167,74.8,96,100,1.19,ID,1675537432
216,akdepe,42.0551,59.3788,35.69,69,11,15.26,TM,1675537432
217,revda,56.801,59.9303,3.24,97,89,1.45,RU,1675537433
218,kiruna,67.8557,20.2251,16.72,86,98,9.22,SE,1675537433
219,kailua,21.4022,-157.7394,72.14,95,100,8.01,US,1675537433
220,talnakh,69.4865,88.3972,6.35,96,100,5.77,RU,1675537433
221,yumen,40.2833,97.2,26.38,38,99,8.75,CN,1675537434
222,kavaratti,10.5669,72.642,81.46,66,100,6.24,IN,1675537305
223,comodoro rivadavia,-45.8667,-67.5,76.86,44,0,13.8,AR,1675537434
224,ystad,55.4297,13.8204,25.54,57,11,5.88,SE,1675537435
225,nosy varika,-20.5833,48.5333,74.82,89,97,0.78,MG,1675537436
226,ugoofaaru,5.6667,73.0,80.91,75,100,5.73,MV,1675537436
227,dera bugti,29.0307,69.151,63.37,32,2,4.16,PK,1675537436
228,port-cartier,50.0334,-66.8654,-1.98,70,100,20.92,CA,1675537437
229,evensk,61.95,159.2333,-2.61,81,100,8.32,RU,1675537437
230,melfi,40.9965,15.6514,38.17,62,100,14.92,IT,1675537437
231,baculin,7.4525,126.5842,76.05,84,100,5.91,PH,1675537438
232,mahajanga,-15.7167,46.3167,82.42,83,20,2.3,MG,1675537438
233,lima,-12.0432,-77.0282,77.25,65,0,14.97,PE,1675537420
234,kavieng,-2.5744,150.7967,81.18,74,94,3.83,PG,1675537439
235,waddan,29.1614,16.139,56.07,37,37,11.14,LY,1675537439
236,ariquemes,-9.9133,-63.0408,83.61,73,70,2.93,BR,1675537440
237,tabou,4.423,-7.3528,80.62,81,6,10.11,CI,1675537440
238,tiarei,-17.5333,-149.3333,84.22,78,18,15.39,PF,1675537440
239,bojnurd,37.4747,57.329,31.95,80,0,2.3,IR,1675537440
240,monrovia,6.3005,-10.7969,82.17,84,42,8.93,LR,1675537214
241,lompoc,34.6391,-120.4579,64.62,69,0,3.44,US,1675537432
242,chipinge,-20.1883,32.6236,66.27,84,87,1.5,ZW,1675537315
243,nyurba,63.2842,118.3319,-51.47,100,100,1.7,RU,1675537441
244,cozumel,20.5083,-86.9458,80.08,76,21,5.01,MX,1675537253
245,cabo san lucas,22.8909,-109.9124,80.62,62,8,1.99,MX,1675537200
246,hanmer springs,-42.5167,172.8167,67.86,81,100,6.22,NZ,1675537443
247,ko samui,9.5357,99.9357,80.44,79,78,16.35,TH,1675537443
248,ahipara,-35.1667,173.1667,66.54,91,100,7.54,NZ,1675537444
249,gao,16.6362,1.637,80.42,11,83,11.3,ML,1675537404
250,williamsburg,37.2707,-76.7075,34.92,33,0,8.05,US,1675537359
251,khasan,42.4308,130.6434,18.03,78,10,3.96,RU,1675537445
252,matara,5.9485,80.5353,75.4,90,52,4.27,LK,1675537445
253,contamana,-7.3333,-75.0167,93.34,38,100,2.77,PE,1675537446
254,salekhard,66.53,66.6019,7.52,94,89,5.19,RU,1675537447
255,cherdyn,60.403,56.4787,13.59,98,100,2.01,RU,1675537448
256,salalah,17.0151,54.0924,73.49,73,20,1.14,OM,1675537448
257,kemijarvi,66.7131,27.4306,3.45,96,100,4.59,FI,1675537449
258,barrow,71.2906,-156.7887,-23.78,76,40,10.36,US,1675537451
259,ngunguru,-35.6167,174.5,67.57,84,74,8.93,NZ,1675537452
260,kabale,-1.2486,29.9899,59.02,70,10,3.4,UG,1675537452
261,beringovskiy,63.05,179.3167,-22.25,93,41,13.56,RU,1675537358
262,vyborg,60.7076,28.7528,15.13,92,6,6.69,RU,1675537454
263,sitka,57.0531,-135.33,33.69,86,100,4.61,US,1675537455
264,constitucion,-35.3333,-72.4167,68.58,73,52,8.01,CL,1675537456
265,klaksvik,62.2266,-6.589,38.32,60,9,31.7,FO,1675537457
266,asau,46.4333,26.4,27.52,95,100,10.45,RO,1675537457
267,ulaangom,49.9811,92.0667,-16.06,93,95,2.73,MN,1675537458
268,havelock,34.8791,-76.9013,40.98,45,0,11.5,US,1675537208
269,nemuro,43.3236,145.575,22.46,76,29,11.52,JP,1675537341
270,muros,42.7762,-9.0603,52.84,66,1,10.22,ES,1675537461
271,avanigadda,16.0215,80.9181,69.73,81,0,3.0,IN,1675537461
272,broken hill,-31.95,141.4333,61.05,56,0,10.31,AU,1675537300
273,aykhal,66.0,111.5,-34.96,100,100,2.64,RU,1675537462
274,gravdal,68.1214,13.5031,34.45,96,100,30.36,NO,1675537464
275,poum,-20.2333,164.0167,81.05,79,85,5.41,NC,1675537465
276,inhambane,-23.865,35.3833,76.6,85,13,8.66,MZ,1675537465
277,tuatapere,-46.1333,167.6833,65.16,96,100,6.35,NZ,1675537371
278,axim,4.8699,-2.2405,79.39,85,100,4.18,GH,1675537466
279,pafos,34.7667,32.4167,55.18,50,40,14.97,CY,1675537212
280,port macquarie,-31.4333,152.9167,59.9,86,1,5.3,AU,1675537350
281,biltine,14.5333,20.9167,79.43,9,100,8.3,TD,1675537467
282,pangnirtung,66.1451,-65.7125,-34.6,61,0,3.44,CA,1675537468
283,honiara,-9.4333,159.95,78.96,86,98,3.0,SB,1675537468
284,lebu,-37.6167,-73.65,67.32,76,49,12.19,CL,1675537469
285,traverse city,44.7631,-85.6206,26.02,80,100,16.78,US,1675537188
286,nioro,13.35,-15.75,90.03,10,100,7.25,GM,1675537469
287,porto novo,6.4965,2.6036,84.02,81,9,10.87,BJ,1675537470
288,gunib,42.3876,46.9651,32.29,28,85,5.64,RU,1675537470
289,ewa beach,21.3156,-158.0072,72.09,86,100,8.05,US,1675537471
290,otautau,-46.15,168.0,64.94,95,100,4.05,NZ,1675537471
291,rawson,-43.3002,-65.1023,89.73,28,18,8.37,AR,1675537182
292,wilkie,52.4168,-108.7014,25.9,84,100,5.57,CA,1675537471
293,dakoro,14.5106,6.765,80.37,13,77,8.5,NE,1675537472
294,trzebnica,51.3108,17.0633,32.36,73,100,12.39,PL,1675537472
295,quattro castella,44.635,10.4743,42.87,83,0,6.78,IT,1675537472
296,hamilton,39.1834,-84.5333,44.89,39,0,18.41,US,1675537393
297,matveyev kurgan,47.5645,38.8695,26.24,92,79,2.28,RU,1675537473
298,egvekinot,66.3167,-179.1667,-29.22,88,12,13.85,RU,1675537443
299,lipin bor,60.2622,37.9763,20.3,94,100,8.37,RU,1675537473
300,mackay,-21.15,149.2,79.68,85,100,5.06,AU,1675537354
